Syllogism,Prediction
AA1,Aac
AA2,Aca
AA3,Aac
AA4,Aac
AI1,Iac
AI2,Ica
AI3,Ica
AI4,Iac
AE1,Eac
AE2,Eca
AE3,Eca
AE4,Eac
AO1,Oac
AO2,Oca
AO3,Oca
AO4,Oac
IA1,Iac
IA2,Ica
IA3,Iac
IA4,Iac
II1,Iac
II2,Ica
II3,NVC
II4,NVC
IE1,Oac
IE2,Eca
IE3,Eca
IE4,NVC
IO1,Oac
IO2,NVC
IO3,NVC
IO4,NVC
EA1,Eac
EA2,Eca
EA3,Eac
EA4,Eac
EI1,Eac
EI2,Oca
EI3,Eac
EI4,NVC
EE1,Eac
EE2,NVC
EE3,NVC
EE4,NVC
EO1,NVC
EO2,NVC
EO3,NVC
EO4,NVC
OA1,Oac
OA2,Oca
OA3,Oac
OA4,Oca
OI1,NVC
OI2,Oca
OI3,NVC
OI4,NVC
OE1,NVC
OE2,NVC
OE3,NVC
OE4,NVC
OO1,Oac
OO2,NVC
OO3,NVC
OO4,NVC
